=====================
station: 北京地铁1号线
from:苹果园, to:古城, len:2606
from:古城, to:八角游乐园, len:1921
from:八角游乐园, to:八宝山, len:1953
from:八宝山, to:玉泉路, len:1479
from:玉泉路, to:五棵松, len:1810
from:五棵松, to:万寿路, len:1778
from:万寿路, to:公主坟, len:1313
from:公主坟, to:军事博物馆, len:1172
from:军事博物馆, to:木樨地, len:1166
from:木樨地, to:南礼士路, len:1291
from:南礼士路, to:复兴门, len:424
from:复兴门, to:西单, len:1590
from:西单, to:天安门西, len:1217
from:天安门西, to:天安门东, len:925
from:天安门东, to:王府井, len:852
from:王府井, to:东单, len:774
from:东单, to:建国门, len:1230
from:建国门, to:永安里, len:1377
from:永安里, to:国贸, len:790
from:国贸, to:大望路, len:1385
from:大望路, to:四惠, len:1673
from:四惠, to:四惠东, len:1714
=====================
station: 北京地铁2号线
from:西直门, to:车公庄, len:909
from:车公庄, to:阜成门, len:960
from:阜成门, to:复兴门, len:1832
from:复兴门, to:长椿街, len:1234
from:长椿街, to:宣武门, len:929
from:宣武门, to:和平门, len:851
from:和平门, to:前门, len:1171
from:前门, to:崇文门, len:1634
from:崇文门, to:北京站, len:1023
from:北京站, to:建国门, len:945
from:建国门, to:朝阳门, len:1763
from:朝阳门, to:东四十条, len:1027
from:东四十条, to:东直门, len:824
from:东直门, to:雍和宫, len:2228
from:雍和宫, to:安定门, len:794
from:安定门, to:鼓楼大街, len:1237
from:鼓楼大街, to:积水潭, len:1766
from:积水潭, to:西直门, len:1899
=====================
station: 北京地铁4号线
from:安河桥北, to:北宫门, len:1363
from:北宫门, to:西苑, len:1251
from:西苑, to:圆明园, len:1672
from:圆明园, to:北京大学东门, len:1295
from:北京大学东门, to:中关村, len:887
from:中关村, to:海淀黄庄, len:900
from:海淀黄庄, to:人民大学, len:1063
from:人民大学, to:魏公村, len:1051
from:魏公村, to:国家图书馆, len:1658
from:国家图书馆, to:动物园, len:1517
from:动物园, to:西直门, len:1441
from:西直门, to:新街口, len:1025
from:新街口, to:平安里, len:1100
from:平安里, to:西四, len:1100
from:西四, to:灵境胡同, len:869
from:灵境胡同, to:西单, len:1011
from:西单, to:宣武门, len:815
from:宣武门, to:菜市口, len:1152
from:菜市口, to:陶然亭, len:1200
from:陶然亭, to:北京南站, len:1643
from:北京南站, to:马家堡, len:1480
from:马家堡, to:角门西, len:827
from:角门西, to:公益西桥, len:989
=====================
station: 北京地铁5号线
from:天通苑北, to:天通苑, len:939
from:天通苑, to:天通苑南, len:965
from:天通苑南, to:立水桥, len:1544
from:立水桥, to:立水桥南, len:1305
from:立水桥南, to:北苑路北, len:1286
from:北苑路北, to:大屯路东, len:3000
from:大屯路东, to:惠新西街北口, len:1838
from:惠新西街北口, to:惠新西街南口, len:1122
from:惠新西街南口, to:和平西桥, len:1025
from:和平西桥, to:和平里北街, len:1059
from:和平里北街, to:雍和宫, len:1151
from:雍和宫, to:北新桥, len:866
from:北新桥, to:张自忠路, len:791
from:张自忠路, to:东四, len:1016
from:东四, to:灯市口, len:848
from:灯市口, to:东单, len:945
from:东单, to:崇文门, len:821
from:崇文门, to:磁器口, len:876
from:磁器口, to:天坛东门, len:1183
from:天坛东门, to:蒲黄榆, len:1900
from:蒲黄榆, to:刘家窑, len:905
from:刘家窑, to:宋家庄, len:1670
=====================
station: 北京地铁6号线
from:海淀五路居, to:慈寿寺, len:1508
